UID	English corrected	Character	CharMood	Duration
CS00Harry_Harry_01	<Harry> ¡Oye! ¡Vuelve, imbécil!	Harry	Neutral	2
CS00Harry_Harry_02	<Harry> Ummm... En mi opinión, no se debería permitir a los estudiantes traer sus propios caballos. ¡Tan indómitos! 	Harry	Angry	6
CS00Save_Flora_01	Gracias hermosa. Parece que sabes a dónde vas. Te seguiré.	Flora	Angry	4
CS00End_Patrick_01	<Patrick> Bienvenidos a la nueva Academia Sycamore. Soy Patrick, el nuevo director de la escuela. Voy a ser asistido por mi hábil equipo de entrenadores. Permítanme presentarles primero a Harry Themples, que les enseñará todo lo que necesitan saber sobre el cuidado de los caballos. A ti, Harry...	Patrick	Neutral	17
CS00End_Harry_02	<Harry> El buen cuidado del caballo es esencial y no se tolerará la dejadez. Va a haber mucho sudor y trabajo y tendréis que ensuciaros las manos. Pero puedo garantizar que vuestros caballos estarán limpios y felices, porque me aseguraré de que lo estén.	Harry	Angry	14
CS00End_Samuel_03	<Samuel> ¿Soy yo, o tiene una gran fuerza?	Samuel	Neutral	2
CS00End_Caroll_04	<Caroll> A mí me parece un poco mono, con su pequeña perilla blanca.	Caroll	Happy	
CS00End_Harry_05	<Harry> ¡SILENCIO! Tengamos un poco de modales, por favor.	Harry	Angry	3
CS00End_Samuel_06	<Samuel> ¿Dices que es mono?	Samuel	Happy	1
CS00End_Patrick_07	<Patrick> Bien, gracias Harry. También está Jade, vuestra entrenadora de competición. 	Patrick	Neutral	5
CS00End_Jade_08	<Jade> Estoy muy contenta de que estéis aquí con nosotros. Cada uno de vosotros tiene dones especiales que podemos desarrollar. Esperemos que este año sea el año en que vuestros sueños se hagan realidad. 	Jade	Happy	10
CS00End_Miguel_09	<Miguel> Extraño. Hay como una tristeza distante en sus ojos. Como si tuviera una enorme carga que soportar. 	Miguel	Neutral	5
CS00End_Aurelie_10	<Aurélie> Es cierto. Pero lo que quiero saber es donde exactamente compró esos pantalones tan chulos.	Aurélie	Happy	5
CS00End_Patrick_11	<Patrick> También nos complace dar la bienvenida a la Academia a la campeona mundial Pippa Funnell. 	Patrick	Neutral	5
CS00End_Alexandra_12	<Pippa> Buenos días. Es un placer estar aquí. Esta es una gran academia y estoy deseando empezar a trabajar con vosotros. 	Alexandra	Happy	8
CS00End_Alexandra_13	<Pippa> Os enfrentaréis a la flor y nata de las academias del mundo. Tenéis que dar lo mejor de vosotros mismos para que la Academia Sycamore gane el Estribo de Oro, la copa interacadémica más famosa. 	Alexandra	Happy	13
CS00End_Jade_14	<Jade> Un momento, falta alguien. 	Jade	Neutral	2
CS00End_Flora_15	Hola, sé que llego tarde pero mi scooter se cayó a un barranco. Afortunadamente uno de vuestros caballos vino al rescate y me salvó la vida. Entonces lo monté directamente hasta aquí.	Flora	Neutral	8
CS00End_Patrick_16	<Patrick> Tienes una gran imaginación, jovencita. Me recuerdas a alguien.	Patrick	Neutral	3
CS00End_Jade_17	<Jade> Por favor, toma asiento junto a Miguel, vamos a empezar la lección.	Jade	Neutral	2
CS01Intro_Samuel_01	<Samuel> Ganamos Caroll. Eso es lo que yo llamo un farol. ¡Los desplumamos!	Samuel	Happy	4
CS01Intro_Caroll_02	<Caroll> ¡Genial! Qué gran juego. ¿Podemos volver a jugar?	Caroll	Neutral	4
CS01Intro_Flora_03	¿Y qué? Si no estuvieras en mi equipo habría ganado, así que no me pongas esa cara de conejo muerto. Y tú, ¡deja esa música! Me está desanimando. 	Flora	Angry	7
CS01Intro_Caroll_04	<Caroll> Está bromeando Miguel, no te pareces en nada a un conejo muerto. Un hámster tal vez...	Caroll	Neutral	5
CS01Intro_Flora_05	Lo siento. Me dejé llevar. Odio perder. Creo que será mejor que vaya al pueblo a comprar un nuevo juego.	Flora	Happy	7
CS01Intro_Samuel_06	<Samuel> ¿Tal vez deberíamos dejarla ganar la próxima vez? 	Samuel	Neutral	2
CS01Intro_Aurelie_07	<Aurélie> Demasiado bien. ¿De verdad crees que toco tan mal? 	Aurélie	Badmood	3
CS01Intro_Caroll_08	<Caroll> Dios, se hace tarde. ¡Es hora de ducharse!	Caroll	Neutral	3
CS01Intro_Samuel_09	<Samuel> Eso me recuerda. Me acaban de enviar un nuevo CD...	Samuel	Neutral	2
CS01Intro_Aurelie_10	<Aurélie> ¿Quieres escuchar la nueva pieza que he escrito?	Aurélie	Happy	1
CS01Intro_Miguel_11	<Miguel> Si quieres...	Miguel	Badmood	1
CS01Chap_Flora_01	¡AYUDA! ¡ALGUIEN! ¡¡¡AYUDA!!! ¡QUE ALGUIEN ME AYUDE! Por supuesto, nunca hay nadie cerca cuando los necesitas...	Flora	Neutral	6
CS01End_Flora_01	Arriesgué mi vida por tu trapo. ¡Podrías haberme advertido sobre la pasarela!	Flora	Angry	3
CS01End_Dubouquin_02	<Oldmaster> Voy a cerrar, jovencita. Vuelva mañana.	Dubouquin	Neutral	2
CS01End_Flora_03	¿Qué? ¡No puede ser! ¡Me lo debes! 	Flora	Angry	2
CS01End_Dubouquin_04	<Oldmaster> Me gustas. Terrible educación, bolsas de carácter.	Dubouquin	Neutral	4
CS01End_Dubouquin_05	<Oldmaster> Aquí tienes tu juego de cartas. Y por cierto, quédate con el catálogo. Acabo de darme cuenta de que ya tengo uno. 	Dubouquin	Happy	8
CS01End_Flora_06	¿Qué se supone que debo hacer con eso?	Flora	Neutral	1
CS01End_Dubouquin_07	<Oldmaster> Estoy seguro de que encontrarás algo. Que tengas un buen día.	Dubouquin	Happy	4
CS01End_Flora_08	Nunca he conocido a un tipo tan raro...	Flora	Neutral	1
CS02Intro_Jade_01	<Jade> Hola. ¿Tienes idea de dónde están tus amigos?	Jade	Neutral	2
CS02Intro_Flora_02	No, lo siento...	Flora	Neutral	1
CS02Intro_Jade_03	<Jade> ¿Puedes encontrarlos, por favor? Tengo algo importante que deciros. 	Jade	Neutral	3
CS02Intro_Flora_04	Lo sabía. Con toda esa charla dulce, tenías que estar detrás de algo. Mira, no tengo ni idea de dónde están. Podrían estar en cualquier parte. ¿Por qué no puedes ir tú misma?	Flora	Angry	9
CS02Intro_Jade_05	<Jade> He estado despierta desde el amanecer trabajando como una loca para vosotros. Si no fuerais tan flojos el día antes de un gran evento, no me molestaría. Deberíais estar trabajando duro y tengo algo que anunciaros que os hará subir los calcetines, si es que os queda un ápice de ambición para ganar realmente esta competición. 	Jade	Angry	16
CS02Intro_Flora_06	Ok, deja de mover el dedo. Me voy...	Flora	Angry	1
CS02Radio_Standardiste_01	<Operador> Y ahora un saludo a Samuel de un oyente misterioso. Uno de los temas más hippie de la escena groove "Give up the funk" de RX Express, y esta dedicatoria totalmente groove: "¡Samuel, abre la puerta del centro de estudiantes, por favor!"	Standardiste	Happy	13
CS02Chat_Flora_01	Hola Miguel.	Flora	Neutral	1
CS02Chat_Miguel_02	<Miguel> ¿Te conozco?	Miguel	Neutral	2
CS02Chat_Flora_03	¿A quién más conoces con mi nombre?	Flora	Neutral	1
CS02Chat_Miguel_04	<Miguel> ¡Oh, hola! Es genial encontrarte en este foro. :)	Miguel	Neutral	5
CS02Chat_Flora_05	Ah... :/	Flora	Neutral	1
CS02Chat_Miguel_06	<Miguel> ¿Cuál es tu poeta favorito?	Miguel	Neutral	1
CS02Chat_Flora_07	¿Cuentan los cantantes de rock? :)))	Flora	Neutral	1
CS02Chat_Miguel_08	<Miguel> ... :(	Miguel	Neutral	
CS02Chat_Flora_09	Vale, tengo algo que decirte.	Flora	Neutral	1
CS02Chat_Miguel_10	<Miguel> Hablar de los sentimientos es un signo de gran valor. Lo respeto.	Miguel	Neutral	4
CS02Chat_Flora_11	Te estás riendo de mí, ¿verdad? 	Flora	Neutral	1
CS02Chat_Miguel_12	<Miguel> Nunca me reiría de ti. Yo también tengo algo importante que decirte. 	Miguel	Neutral	5
CS02Chat_Flora_13	Jade quiere hablar con nosotros. En el aula. 	Flora	Neutral	2
CS02Chat_Miguel_14	<Miguel> Oh... ¿Eso es todo?	Miguel	Neutral	2
CS02Chat_Flora_15	Eh... ¡sí! Y... ¡date prisa! ¡He terminado de perseguirlos a todos!	Flora	Neutral	4
CS02Chat_Miguel_16	<Miguel> …	Miguel	Neutral	
CS02Chat_Miguel_17	<Miguel> Ya estoy en el aula. Todos lo estamos. Jade está enfadada porque aún no has llegado. 	Miguel	Neutral	5
CS02End_Jade_01	<Jade> Vale, todos nos hemos divertido, hemos tenido un buen descanso. Pero el hecho de estar en una Academia no los convierte en buenos jinetes. 	Jade	Neutral	7
CS02End_Jade_02	<Jade> Tengo que advertiros: La Academia Australiana debía enviar a su equipo B. En lugar de eso, ¡envían a su equipo A! 	Jade	Neutral	8
CS02End_Jade_03	<Jade> Equipo A son de nivel nacional. Si perdemos, el futuro de la Academia está en peligro.	Jade	Neutral	5
CS02End_Jade_04	<Jade> Evidentemente, sois conscientes de que nuestra situación financiera depende de los resultados. 	Jade	Neutral	3
CS02End_Jade_05	<Jade> Además, necesitamos buena prensa para mantener viva la escuela. Así que os agradecería que tratarais este evento con la máxima seriedad. 	Jade	Neutral	7
CS02End_Jade_06	<Jade> I want you to double the work-rate and prepare yourself as for a major competition. 	Jade	Neutral	5
CS02End_Jade_07	<Jade> ¡¡¡Muy bien!!! ¿A qué estáis esperando?	Jade	Neutral	2
CS03Intro_Jade_01	<Jade> Me complace anunciar que hoy es el día especial de alguien. Tenemos un enorme privilegio que ofrecer a uno de vosotros, un privilegio que también podréis compartir. Pero sólo podemos seleccionar a una persona. Así que, con el acuerdo de Pippa y nuestro equipo de entrenadores, hemos decidido plantearos un reto, una especie de juego. 	Jade	Happy	23
CS03Intro_Flora_02	Creía que jugar estaba descartado. Pensé que debíamos entrenar. 	Flora	Neutral	3
CS03Intro_Jade_03	<Jade> Os merecéis una recompensa por vuestra última victoria. 	Jade	Happy	2
CS03Intro_Aurelie_04	<Aurélie> ¿Y si no nos gustan los juegos? ¿Tenemos que jugar?	Aurélie	Badmood	2
CS03Intro_Patrick_05	<Patrick> Confía en nosotros. Merecerá la pena.	Patrick	Happy	
CS03Intro_Samuel_06	<Samuel> Me quedo con el equipo de Caroll. Cualquiera menos Miguel; él siempre pierde. 	Samuel	Neutral	4
CS03Intro_Miguel_07	<Miguel> Lo siento. Nunca he sido un gran jugador.	Miguel	Badmood	3
CS03Intro_Caroll_08	<Caroll> Anímate Miguel. Tienes muchas cosas a tu favor. Ese libro de poesía que me prestaste es brillante. Tienes muy buen gusto. 	Caroll	Neutral	8
CS03Intro_Miguel_09	<Miguel> ¿De verdad? ¿Te gustan los poemas?	Miguel	Happy	2
CS03Intro_Caroll_10	<Caroll> Eh... todavía no he empezado a leerlos, ¡pero la portada es genial!	Caroll	Happy	5
CS03Intro_Harry_11	<Harry> No hay necesidad de pelearse por los equipos. Cada uno de los jinetes debe ir por su cuenta. 	Harry	Neutral	
CS03Intro_Jade_12	<Jade> ¡Exacto! Sin más preámbulos, vamos a divertirnos.	Jade	Happy	2
CS03EndA_Flora_01	¡Guau, es magnífico!	Flora	Happy	
CS03EndB_Jade_01	<Jade> Has ganado el reto, así que el premio es tuyo. Este caballo es ahora tuyo. Cuídalo bien. Todavía es muy delicado.  	Jade	Happy	8
CS03EndB_Flora_02	Vaya, gracias...	Flora	Happy	1
CS03EndB_Caroll_03	<Caroll> ¡Me alegro mucho por ti! Dime, ¿puedo elegir un nombre para él? 	Caroll	Happy	4
CS03EndB_Ensemble_04	<Samuel, Miguel y Aurélie> ¡¡¡No!!!	Ensemble	Happy	1
CS03EndB_Ensemble_05	<Todos menos Caroll> (risas)	Ensemble	Happy	5
CS04Intro_Flora_01	Ey, escuchad esto, ¡no os lo vais a creer! 	Flora	Happy	2
CS04Intro_Aurelie_02	<Aurélie> Ya te escuchamos mucho. Nos estás desanimando. 	Aurélie	Badmood	2
CS04Intro_Flora_03	No, en serio. Me acaban de enviar un correo extraño. ¡Alguien quiere reunirse conmigo en la capilla!	Flora	Happy	4
CS04Intro_Aurelie_04	<Aurélie> ¡No puede ser!	Aurélie	Happy	1
CS04Intro_Caroll_05	<Caroll> ¿Para qué?	Caroll	Neutral	1
CS04Intro_Aurelie_06	<Aurélie> "Toma el camino hacia la capilla y encuentra mi fuego dentro"	Aurélie	Happy	4
CS04Intro_Caroll_07	<Caroll> ¿Quieres decir que la capilla está en llamas?	Caroll	Neutral	2
CS04Intro_Aurelie_08	<Aurélie> Sip, y conozco a alguien que lo va a sacar. 	Aurélie	Happy	3
CS04Intro_Flora_09	¿Sabes qué? Creo que voy a ir. Probablemente sea uno de esos franceses sensuales de la Academia Pinewood que apareció esta mañana. 	Flora	Happy	5
CS04Intro_Caroll_10	<Caroll> ¿Un francés incendió la capilla? ¿Para qué?	Caroll	Badmood	3
CS04Intro_Flora_11	Bien, chicas, ¡voy a ver de qué se trata! 	Flora	Happy	1
CS04Intro_Aurelie_12	<Aurélie> ¡Háznoslo saber! 	Aurélie	Happy	1
CS04Intro_Caroll_13	<Caroll> ¡Estás loca! ¡No te vayas!	Caroll	Badmood	2
CS04Intro_Caroll_14	<Caroll> ¿Qué debemos hacer, Aurélie? ¡Debemos pedir ayuda!	Caroll	Badmood	3
CS04Intro_Aurelie_15	<Aurélie> Creo que se las arreglará bien.	Aurélie	Happy	2
CS04End_Flora_01	Es precioso. ¿Quién podría haberme dado un regalo así? Es una locura.	Flora	Neutral	4
CS04End_Flora_02	¿Te apetece dar la cara? ¿Hay alguien ahí?	Flora	Happy	3
Week02End_Jade_01	<Jade> Amigos, he recibido una carta de la Academia Beechwood de Alsacia. Nuestras actuaciones les han impresionado. Les gustaría competir con nosotros en el próximo evento.  	Jade	Neutral	9
Week02End_Patrick_02	<Patrick> Es demasiado pronto para enfrentarse a un equipo como el suyo. Sus medios son colosales; además, tienen una gran campeona. La gente dice que es letal. 	Patrick	Neutral	6
Week02End_Harry_03	<Harry> He oído que han gastado millones comprando caballos campeones de raza. He oído rumores de que la investigación genética estaba involucrada. Francamente, Jade, no creo que sea una gran idea. 	Harry	Neutral	11
Week02End_Jade_04	<Jade> Han dicho que pondrán su equipo B.	Jade	Neutral	2
Week02End_Patrick_05	<Patrick> En ese caso, es factible. Pero sigue sin ser fácil. 	Patrick	Neutral	4
Week02End_Jade_06	 <Jade> ¡Es un insulto, Patrick! Sólo porque no tenemos el peso financiero, no creen que seamos dignos de su equipo A. Así que he aceptado su invitación y he puesto mis condiciones: si ganamos a los Bs, nos enfrentamos a los As, un mes después.	Jade	Neutral	15
Week02End_Patrick_07	<Patrick> Deberías haberme consultado, Jade. Estás poniendo a toda la Academia en peligro. Si perdemos, nuestros patrocinadores se retirarán y nos veremos obligados a cerrar. ¡Birdy se revolverá en su tumba!	Patrick	Angry	10
Week02End_Jade_08	<Jade> Birdy habría querido que les mostráramos que el dinero no lo es todo, que la determinación es igual de importante. "¡Nunca digas 'perder'! Nunca". Eso es lo que Birdy habría dicho.	Jade	Badmood	9
Week02End_Harry_09	<Harry> De todos modos, Jade no tenemos la estructura necesaria para acoger a dos equipos en una temporada. 	Harry	Neutral	4
Week02End_Jade_10	<Jade> No vendrán aquí. Iremos allí, a pasar el invierno.	Jade	Badmood	3
Week02End_Patrick_11	<Patrick> No debería haber hablado así.	Patrick	Badmood	1
Week02End_Harry_12	<Harry> Lo superará. Ha conocido cosas peores. Sin embargo, le habrá afectado.	Harry	Neutral	4
CS05Intro_Jade_01	<Jade> Sigo pensando que está fuera de lugar que el director de la Academia no dé la cara. 	Jade	Angry	4
CS05Intro_Harry_02	<Harry> Sólo enviaron a un portavoz imbécil. Un tipo educado, pero demasiado bocazas para mi gusto.	Harry	Neutral	5
CS05Intro_Patrick_03	<Patrick> El director es un tipo ocupado. Tiene otros negocios además de la academia y dirige dos escuelas a la vez. No debe ser fácil. 	Patrick	Neutral	8
CS05Intro_Jade_04	<Jade> No me importa. En mi opinión, demuestra cero respeto. Sólo porque no se molesta en saludar a los chicos de la "pequeña academia italiana". 	Jade	Angry	8
CS05Intro_Patrick_05	<Patrick> Cálmate. Si derrotamos a sus reservas, vendrá a buscarnos, créeme.	Patrick	Neutral	5
CS05Intro_Jade_06	<Jade> ¿Por qué esperar? Si no viene a mí, ¡haré las presentaciones yo misma!	Jade	Angry	4
CS05Intro_Harry_07	<Harry> Si ayuda. He oído que su oficina está en algún lugar de la ciudad.	Harry	Neutral	3
CS05Intro_Jade_08	<Jade> Gracias. No tardaré mucho.	Jade	Neutral	1
CS05End_Flora_01	Te escucho.	Flora	Neutral	1
CS05End_Esteban_02	<Esteban> Te aprecio mucho, sabes.	Esteban	Neutral	1
CS05End_Flora_03	Yo también...	Flora	Neutral	1
CS05End_Esteban_04	<Esteban> Hablo de sentimientos.	Esteban	Neutral	1
CS05End_Flora_05	Esteban, yo...	Flora	Neutral	1
CS05End_Esteban_06	<Esteban> No lo digas...	Esteban	Neutral	1
CS05End_Esteban_07	<Esteban> No me gustaría que te fueras después de la competición.	Esteban	Neutral	2
CS05End_Flora_08	Yo también. Pero no tengo la opción...	Flora	Badmood	2
CS05End_Esteban_09	<Esteban> Quédate con mi academia, únete al equipo. Podemos llegar muy lejos. Puedo convertirte en una campeona. Podríamos estar juntos. 	Esteban	Neutral	6
CS05End_Flora_10	¿Me tendrías en tu equipo? Estoy conmovida, pero...	Flora	Neutral	3
CS05End_Esteban_11	<Esteban> Es sencillo. Sólo firma los papeles, y yo me encargaré del resto.	Esteban	Neutral	4
CS05End_Jade_12	<Jade> ¿Te refieres a esta sarta de mentiras?	Jade	Angry	1
CS05End_Esteban_13	<Esteban> Jade... El placer es todo mío...	Esteban	Happy	2
CS05End_Jade_14	<Jade> ¡Vuelva a la Academia, jovencita! Y en cuanto a ti, ¡deja en paz a mis alumnos!	Jade	Angry	4
CS05End_Flora_15	Mi carrera no es tuya para decidirla. Si creo que una escuela tiene mejor equipamiento, está dirigida por alguien con quien quiero estar, y quiero cambiar allí porque es bueno para mí, no hay nada que puedas hacer. Y eso es exactamente lo que pienso hacer. 	Flora	Angry	9
CS05End_Esteban_16	<Esteban> No puedes ganar todo, Jade. ¿Quieres una manzana?	Esteban	Happy	3
CS05End_Jade_17	<Jade> ¡Vete al infierno!	Jade	Angry	1
CS05End_Esteban_18	<Esteban> Te he echado de menos Jade, mucho. Prepárate...	Esteban	Neutral	2
CS06Intro_Patrick_01	<Patrick> Sin ella, el equipo es demasiado débil, como bien sabes. 	Patrick	Neutral	2
CS06Intro_Jade_02	<Jade> Lo sé. Pero no puedo obligarla. Si ella quiere cometer el mayor error de su vida, entonces hay que dejarla. 	Jade	Angry	4
CS06Intro_Patrick_03	<Patrick> ¿Cuándo quiere irse?	Patrick	Neutral	1
CS06Intro_Jade_04	<Jade> Ella competirá mañana y luego se unirá a Esteban...	Jade	Badmood	4
CS06Intro_Jade_05	<Jade> ¿Por qué le han dejado salir?	Jade	Angry	1
CS06Intro_Patrick_06	<Patrick> Dopar a los caballos no merece la cadena perpetua.	Patrick	Neutral	3
CS06Intro_Jade_07	<Jade> Pero me humilló. Me ha traicionado. ¡Se merece algo peor!	Jade	Angry	4
CS06Intro_Patrick_08	<Patrick> Tu joven protegida está muy apegada a sus amigos. Seguro que un simple "lo siento" podría hacerla cambiar de opinión. 	Patrick	Neutral	6
CS06Intro_Jade_09	<Jade> No sabes lo encantador que puede ser Esteban. Cuando estaba con él, los caballos salvajes no podían separarme. No sé qué hacer.	Jade	Badmood	7
CS06Intro_Patrick_10	<Patrick> Tómate un tiempo, relájate. Eso es lo que vine a decirte. Hay un grupo de rock que toca esta noche en un pub de la ciudad. Dale una oportunidad. Estoy seguro de que te hará bien. 	Patrick	Neutral	9
CS06Intro_Jade_11	<Jade> ¿Quieres venir también?	Jade	Neutral	1
CS06Intro_Patrick_12	<Patrick> Creo que es mejor que vayas sola. Todavía tengo trabajo que hacer. Me uniré a ti más tarde, tal vez. 	Patrick	Neutral	7
CS06Intro_Jade_13	<Jade> Hasta luego entonces.	Jade	Neutral	1
CS06Intro_Patrick_14	<Patrick> Jade…	Patrick	Neutral	1
CS06Intro_Jade_15	<Jade> ¿Sí?	Jade	Neutral	1
CS06Intro_Patrick_16	<Patrick> Todavía amas a Esteban, ¿no?	Patrick	Badmood	1
CS06Intro_Jade_17	<Jade> ¿Entiendes ahora por qué es tan peligroso?	Jade	Badmood	1
CS06Bar_Commentateur_01	<Comentarista> Señoras y señores, directamente desde Londres, la nueva sensación del pop-rock, el milagro de la nueva ola, ¡un aplauso para The Bloodflowers!	Commentateur	Neutral	8
CS06Bar_Spike_02	<Spike> ¡Buenas noches! 	Spike	Neutral	1
CS06Bar_Jade_03	<Jade> ¡Spike!	Jade	Neutral	2
CS06Bar_Spike_04	<Spike> ¡Vaya! ¡Princesa! ¿Qué estás haciendo aquí?	Spike	Neutral	1
CS06Bar_Caroll_05	<Caroll> ¿Jade conoce a Spike?	Caroll	Neutral	1
CS06Bar_Aurelie_06	<Aurélie> ¿Sabes lo que significa?	Aurélie	Neutral	1
CS06Bar_Caroll_07	<Caroll> Sip	Caroll	Neutral	1
CS06Bar_Ensemble_08	<Caroll y Aurélie> ¡¡¡¡¡AUTÓGRAFOS!!!!!	Ensemble	Neutral	1
CS06End_Jade_01	<Jade> ...Y lo otro de Esteban es que está tratando de corromper a mi mejor alumna (suspiro). La pobre chica no sabe lo que le espera...	Jade	Badmood	9
CS06End_Spike_02	<Spike> ¿Has intentado hablar con ella?	Spike	Neutral	1
CS06End_Jade_03	<Jade> Es más terca que yo. Es imposible.	Jade	Badmood	2
CS06End_Spike_04	<Spike> ¿Más terca que tú? Eso es imposible.	Spike	Happy	2
CS06End_Jade_05	<Jade> Así que, mientras tanto, no sé qué hacer.	Jade	Badmood	1
CS06End_Spike_06	<Spike> Hablaré con tu chica y le daré un vistazo del verdadero Esteban.	Spike	Neutral	2
CS06End_Jade_07	<Jade> No sé qué podrías decir, ¡pero seguro que ayudaría! 	Jade	Happy	2
CS06End_Spike_08	<Spike> Confía en mí. Tengo una idea.	Spike	Happy	1
CS06End_Jade_09	<Jade> Seguro que sí. Pero, por favor, háblame de ti. Pensé que habías encontrado el verdadero amor con Wendy Summers en los Estados Unidos.	Jade	Neutral	6
CS06End_Spike_10	<Spike> Pero la música siempre fue mi primer amor. Los caballos nunca fueron mi taza de Rosy Lea.	Spike	Neutral	3
CS06End_Spike_11	<Spike> Wendy se dio cuenta de que yo vivía su pasión y no la mía, así que rompí con ella. Nunca la olvidaré. Sigue siendo la número uno en mi lista de éxitos. 	Spike	Badmood	9
CS06End_Jade_12	<Jade> ¿Todavía estáis en contacto?	Jade	Badmood	
CS06End_Spike_13	<Spike> La distancia hace que el corazón se distancie. Cuando me fui, Wendy estaba muy triste. Yo también. No tenía sentido llamar por teléfono para decir lo mucho que dolía. 	Spike	Badmood	
CS06End_Jade_14	<Jade> Lo entiendo.	Jade	Badmood	
CS06End_Spike_15	<Spike> Desde entonces estoy en la carretera, cantando mi dolor a todo el que quiera escuchar. Lo más divertido es que la gente me paga.	Spike	Happy	
CS06End_Jade_16	<Jade> La gente se identifica con el sufrimiento. Lo importante es no regodearse en él. (Pequeña risa nerviosa).	Jade	Badmood	
CS06End_Spike_17	<Spike> ¿Qué pasa?	Spike	Neutral	
CS06End_Jade_18	<Jade> Escúchame, dando consejos que no puedo seguir. Soy patético.	Jade	Badmood	
CS06End_Spike_19	<Spike> Eres una estrella, princesa. Lo solucionaremos, no te preocupes.	Spike	Neutral	
CS06End_Jade_20	<Jade> ¿Spike?	Jade	Neutral	
CS06End_Spike_21	<Spike> ¿Sí?	Spike	Neutral	
CS06End_Jade_22	<Jade> Me alegro de volver a verte.	Jade	Happy	
CS06End_Spike_23	<Spike> ¡Te he echado de menos, princesa!	Spike	Happy	
CS07Intro_Caroll_01	<Caroll> If you go, we'll lose...	Caroll	Badmood	1
CS07Intro_Flora_02	No estás ayudando, Caroll. Ya es bastante doloroso, así que por favor, deja la culpabilidad. 	Flora	Badmood	4
CS07Intro_Caroll_03	<Caroll> No te estoy culpando. A todo el mundo le gusta decir que "me voy con las hadas", pero sé exactamente por lo que estás pasando. La vida es un juego de decisiones y hay que atenerse a ellas, incluso a las más impulsivas. Tus elecciones te hacen ser quien eres. Y la gente se da cuenta de eso un día.  	Caroll	Neutral	21
CS07Intro_Flora_04	Gracias, Caroll, nunca lo olvidaré. Echaré de menos tu sabiduría, sabes.	Flora	Neutral	3
CS07Intro_Spike_05	<Spike> ¡Toc, toc, toc!	Spike	Happy	1
CS07Intro_Flora_06	¡La gente suele llamar fuera!	Flora	Neutral	1
CS07Intro_Caroll_07	<Caroll> ¡Oh, Dios mío! ¡Es él!	Caroll	Neutral	3
CS07Intro_Flora_08	¿Quién es él?	Flora	Neutral	1
CS07Intro_Caroll_09	<Caroll> ¿No lo reconoces? ¡¡Es Spike el cantante de Bloodflowers!!	Caroll	Happy	5
CS07Intro_Spike_10	<Spike> ¡El único! Estuviste en el concierto de la otra noche.	Spike	Happy	3
CS07Intro_Caroll_11	<Caroll> ¿Te has dado cuenta? Pellízcame que estoy soñando.	Caroll	Neutral	4
CS07Intro_Flora_12	Caroll, para...	Flora	Neutral	1
CS07Intro_Caroll_13	<Caroll> Vamos, pellízcame. ¡Ay! No, ¡todavía está ahí!	Caroll	Neutral	5
CS07Intro_Flora_14	¿Qué puedo hacer por el Sr. Spike de Blood-no sé que?	Flora	Neutral	2
CS07Intro_Caroll_Spike_15	<Caroll y Spike> ¡Bloodflowers!	Ensemble	Angry	1
