UID	English Text V2	Character	CharMood	
W1TueStart2_01	Cuando estés fuera de la academia, podrás utilizar tu caballo para explorar los alrededores. En algunos lugares, tendrás que desmontar para visitarlos. Para ello, sólo tienes que pulsar el botón Control derecho. 	Elsys	Neutral	
W1TueStart2_02	Para volver a montar tu caballo, colócate junto a él y pulsa la barra espaciadora cuando aparezca el icono correspondiente. 	Elsys	Neutral	
W1TueNoHorse_01	Será mejor que entres con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W1TueBook_01	Un catálogo de antigüedades chinas.	Flora	Neutral	
W1TuePrepare4_01	Esa chica sí que se mete en situaciones complicadas. Será mejor que vayas a ayudarla. Busca un buen lugar para saltar el barranco y poder llegar a ella.	Elsys	Neutral	
W1TueNoJump_01	No puedes ir por ahí. Hay demasiado espacio.	Elsys	Neutral	
W1TueJumpEnd_01	¡Bien hecho! ¡Lo has conseguido!	Elsys	Neutral	
W1TueReplay_01	No has conseguido el libro antes de que cerrara la tienda de antigüedades. Mejor inténtalo de nuevo. 	Elsys	Neutral	
W1TueReplay2_01	No has conseguido el libro antes de que cerrara la tienda de antigüedades. Mejor inténtalo de nuevo. 	Elsys	Neutral	
W1TueGameOver_01	No lo has conseguido. La aventura termina aquí, me temo.	Elsys	Neutral	
W1SatPrepare_01	Sé que la perspectiva no te abruma pero vas a tener que encontrar a los otros estudiantes de la Academia. 	Elsys	Neutral	
W1SatPrepare_02	El eufemismo del siglo. Bien, vamos.	Flora	Angry	
W1SatPrepare_03	Aurélie habló de ir de compras, creo. Eso parece un buen lugar para empezar. 	Flora	Neutral	
W1SatAurelTalk_01	Te he estado buscando por todas partes Aurélie. Dime, sabes...	Flora	Neutral	
W1SatAurelTalk_02	Detente ahí. ¡Acabo de encontrar el top más pequeño! Espera a verlo. ¡Te va a encantar!	Aurelie	Happy	
W1SatAurelTalk_03	Vale, pero primero, dime, ¿has visto a los otros? Jade quiere hablar con nosotros. 	Flora	Neutral	
W1SatAurelTalk_04	Hoy no he visto prácticamente a nadie. Miguel sigue enfurruñado en un rincón. Samuel ha hecho su habitual acto de desaparición. Empiezo a pensar que está tratando de evitarme. ¿Qué te parece?	Aurelie	Neutral	
W1SatAurelTalk_05	Claro... Quiero decir que estoy seguro de que no. ¿Qué importa? De todos modos, ¿qué pasa con Caroll? 	Flora	Neutral	
W1SatAurelTalk_06	Oh sí, Caroll se ha ido a hacer guirnaldas de flores. Ahora, reconozco esa pequeña mirada en tus ojos. No puedes esperar a ver el top que he comprado.	Aurelie	Happy	
W1SatAurelTalk_07	Es difícil contener mi emoción, lo sé, pero creo que se verá aún mejor cuando lo lleves puesto. Nos vemos luego. 	Flora	Neutral	
W1SatAurelTalk_08	Pero...	Aurelie	Neutral	
W1SatAurelTalk2_01	Como ya dije, Caroll está haciendo guirnaldas. ¿Es todo lo que puedes pensar?	Aurelie	Badmood	
W1SatNoCla_01	Tienes que encontrar a todos tus compañeros antes de volver al aula.	Elsys	Neutral	
W1SatNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W1SatCarollTalk_01	¡Hola Caroll! ¿Cómo te va? 	Flora	Happy	
W1SatCarollTalk_02	Mmm, no tan bien.	Caroll	Badmood	
W1SatCarollTalk_03	¿Qué ocurre?	Flora	Neutral	
W1SatCarollTalk_04	Quiero hacer guirnaldas de flores. Pero eso significa hacer algo más bonito que las propias flores, ¿no?	Caroll	Neutral	
W1SatCarollTalk_05	Sí, supongo que sí. Escucha...	Flora	Neutral	
W1SatCarollTalk_06	Si recojo las flores, verás, estarán muertas para mañana. Pero si las dejo, serán menos bonitas que mi guirnalda. Pero en una semana, cuando vuelva, sus colores serán increíbles...	Caroll	Badmood	
W1SatCarollTalk_07	Cierto... Dime si no has visto...	Flora	Neutral	
W1SatCarollTalk_08	Dicho esto, significa destruir algo mientras se hace más hermoso. Entonces, ¿qué es lo que hago? 	Caroll	Badmood	
W1SatCarollTalk_09	Te diré lo que harás. ¡Me dirás dónde están Miguel y Samuel! Jade quiere hablar con todos nosotros.	Flora	Neutral	
W1SatCarollTalk_10	Samuel está en el centro de estudiantes, escuchando Radio Groovin FM. Pero no he visto a Miguel esta mañana.	Caroll	Neutral	
W1SatCarollTalk_11	Gracias Caroll. Me has sido muy útil.	Flora	Neutral	
W1SatCarollTalk_12	Un placer.	Caroll	Badmood	
W1SatCarollTalk_13	Y en cuanto a tus flores, sólo tienes que decirte que todas las flores se recogen algún día. O que mueren en invierno y vuelven en primavera. Nunca habrá escasez de flores en ninguna parte de este pueblo. Pero el mundo nunca verá tus guirnaldas a menos que las hagas y será un adiós a toda esa belleza porque la dejaste ir. 	Flora	Neutral	
W1SatCarollTalk_14	Gracias. ¡Haré uno grande para ti, especialmente!	Caroll	Happy	
W1SatCarollTalk_15	Bien, pero no demasiado grande. Hasta luego.	Flora	Happy	
W1SatCarollTalk2_01	Voy a recoger todo el campo y hacer guirnaldas para todos. 	Caroll	Happy	
W1SatCarollTalk2_02	Em, no nos dejemos llevar, ¿eh?	Flora	Badmood	
W1SatLockDoor_01	Está cerrado. ¡Samuel! Es inútil. La radio está demasiado alta para escuchar mi voz.	Flora	Badmood	
W1SatLockDoor_02	¡Eso es! ¡La radio! ¡Intenta hablar con Samuel por radio!	Elsys	Neutral	
W1SatLockDoor_03	¡Sí! Si pudiera contactar con la centralita... Samuel debe haber dejado una de sus revistas de música por aquí. Tal vez una de ellas tenga un número de teléfono. 	Flora	Neutral	
W1SatLockDoor_04	¡Si! ¿Y dónde se pueden encontrar revistas en la academia?	Elsys	Neutral	
W1SatLockDoor2_01	Es inútil. La radio está demasiado alta.	Flora	Badmood	
W1SatMagTake_01	El número de la centralita de Groovin FM aparece en el anuncio.	Flora	Neutral	
W1SatMagTake_02	La revista con el número de teléfono se ha añadido a tu inventario. Para consultarlo, pulsa el botón I. 	Elsys	Neutral	
W1SatTutoUse_01	Cuando aparezca un icono con forma de engranaje como el de usar, podrás utilizar un objeto de tu inventario. Ve a tu inventario, selecciona el objeto y haz clic en el botón con forma de mano de la parte superior derecha. 	Elsys	Neutral	
W1SatUnlockDoor_01	¡Hola, Groovin FM! ¿Quién habla, por favor?	Standardiste	Neutral	
W1SatUnlockDoor_02	Prefiero permanecer en el anonimato. Me gustaría dedicar una canción a uno de mis amigos.	Flora	Neutral	
W1SatUnlockDoor_03	Te escucho.	Standardiste	Neutral	
W1SatUnlockDoor_04	'Give up the Funk', de RX Express.	Flora	Neutral	
W1SatUnlockDoor_05	Sin problema. ¿Algún mensaje que añadir?	Standardiste	Neutral	
W1SatUnlockDoor_06	Sí: Samuel abre la puerta del centro de estudiantes, por favor.	Flora	Neutral	
W1SatUnlockDoor_07	¡Grandioso mensaje! ¡Lo transmitiremos de inmediato! ¡Sigue bailando con Groovin FM! Hasta pronto.	Standardiste	Neutral	
W1SatSamTalk_01	Perdón por lo de la puerta. 	Samuel	Neutral	
W1SatSamTalk_02	No te preocupes. Lo entiendo. Todo el mundo necesita aislarse de vez en cuando. Vine a decir que Jade quiere hablar con nosotros. He conseguido decírselo a todo el mundo, pero no encuentro a Miguel.	Flora	Neutral	
W1SatSamTalk_03	¿A esta hora de la noche? Está en el ciberespacio en un foro. 	Samuel	Neutral	
W1SatSamTalk_04	¡Necesito encontrarlo en el mundo real!	Flora	Neutral	
W1SatSamTalk_05	El problema es que podría estar en cualquier parte. Navega en su ordenador portátil. Lo más fácil es conectarse al ordenador del centro de estudiantes, encontrar al Miguel virtual y preguntarle dónde está el Miguel real. 	Samuel	Badmood	
W1SatSamTalk_06	Vale, pero Internet es bastante mundial y no tengo ochenta días. 	Flora	Neutral	
W1SatSamTalk_07	Conozco la dirección de la sala de chat que utiliza, este foro de poesía del siglo XIX. Es muy moderno, ¿eh? El único problema es que no sé la contraseña del ordenador. 	Samuel	Neutral	
W1SatSamTalk_08	Sabía que habría un problema. ¿Quién sabe la contraseña?	Flora	Badmood	
W1SatSamTalk_09	El anticuario del pueblo, el señor Oldmaster.	Samuel	Neutral	
W1SatSamTalk_10	¿Estás bromeando?	Flora	Angry	
W1SatSamTalk_11	No, en absoluto. Le he visto reparar los ordenadores de las aulas. Se ocupa de la red de la academia en su tiempo libre.	Samuel	Neutral	
W1SatSamTalk_12	Antigüedades e informática. Ahora sí que lo he visto todo.	Flora	Neutral	
W1SatBrocTalk_01	Hola, señor Oldmaster, ¿y cómo está usted hoy?	Flora	Happy	
W1SatBrocTalk_02	Cuánto tiempo sin verte. Parece que has aprendido algunos modales recientemente. 	Dubouquin	Happy	
W1SatBrocTalk_03	¿Qué buscas esta vez? ¿Un juego de Familias Felices? ¿Una comba? Si lo que buscas son videojuegos, has llamado a la puerta equivocada. 	Dubouquin	Happy	
W1SatBrocTalk_04	Muy gracioso... Necesito la contraseña del ordenador del centro de estudiantes.	Flora	Neutral	
W1SatBrocTalk_05	Pero tú ya la sabes, querida.	Dubouquin	Neutral	
W1SatBrocTalk_06	Escucha, yo sé lo que sé y si pido la contraseña es porque no la sé. 	Flora	Neutral	
W1SatBrocTalk_07	Esto es lo que haremos. Voy a leer tu mente y esto te ayudará a adivinar. 	Dubouquin	Neutral	
W1SatBrocTalk_08	¿Qué? Escucha, no tengo tiempo para juegos y diversiones...	Flora	Angry	
W1SatBrocTalk_09	Te sorprenderás. Mira esa cosa en la mesa. Esa máquina puede leer tu mente.	Dubouquin	Happy	
W1SatBrocTalk_10	De acuerdo, te seguiré el juego. Pero cuando quedes en ridículo, te verás obligado a decirme la contraseña. 	Flora	Neutral	
W1SatEniTuto_01	Piensa en un número de dos dígitos, como el dieciséis.	Elsys	Neutral	
W1SatEniTuto_02	A continuación, suma los dos dígitos para obtener un segundo número. Por ejemplo, con 16, 6 + 1 = 7. 7 es tu nuevo número.	Elsys	Neutral	
W1SatEniTuto_03	Ahora resta el nuevo número del primer número que pensaste. En mi ejemplo, 16 - 7 = 9. Toma el nuevo número y mira la letra correspondiente en la máquina. 	Elsys	Neutral	
W1SatEniTuto_04	Ahora concéntrate mucho en la letra que acabas de encontrar y haz clic en la pequeña ventana de la parte superior. La máquina te leerá la mente.	Elsys	Neutral	
W1SatEniP_01	La máquina predice la letra H.	Elsys	Neutral	
W1SatEniP_02	Repite la operación, hasta que la máquina prediga todas las letras de la contraseña.	Elsys	Neutral	
W1SatEniTuto2_01	Realiza el mismo proceso. Piensa en un número de dos cifras, suma las dos cifras para obtener un segundo número. Resta este número del primer número y mira el número correspondiente en la máquina.	Elsys	Neutral	
W1SatEniO_01	La máquina predice la letra O.	Elsys	Neutral	
W1SatEniN_01	La máquina predice la letra R.	Elsys	Neutral	
W1SatEniE_01	La máquina predice la letra S.	Elsys	Neutral	
W1SatEniY_01	La máquina predice la letra E.	Elsys	Neutral	
W1SatBrocTalk2_01	Ves, estabas pensando en las letras todo el tiempo. H-O-R-S-E. La contraseña es horse. Te dije que la sabías.	Dubouquin	Neutral	
W1SatBrocTalk2_02	No sé cómo lo has hecho, pero espero que no haya sido una tomadura de pelo. 	Flora	Neutral	
W1SatBrocTalk2_03	Jovencita, un transatlántico corta las olas pero se hunde como una piedra. Deberías aprender a aligerar, a confiar más en la gente.  	Dubouquin	Neutral	
W1SatBrocTalk2_04	Intentaré tenerlo en cuenta.	Flora	Neutral	
W1SatCompetStart_01	Para ganar esta competición, debes quedar entre los tres primeros. De lo contrario, puedes volver a intentarlo para conseguir una mejor puntuación. Ten cuidado, después de tres derrotas, tendrás que empezar una nueva semana..	Elsys	Neutral	
W2MonStart_01	Ahora te toca a ti... Aquí está el acertijo.	Jade	Neutral	
W2MonStart_02	Estoy en el principio de todo pero en el final de ninguna parte. Estoy en medio del océano y de la brisa marina. ¿Qué soy?	Jade	Neutral	
W2MonStart_03	Elige una caja, la que creas que es la respuesta al acertijo. Dentro encontrarás una pista que te ayudará a resolver el reto	Jade	Neutral	
W2MonStart_04	No es justo. ¡Todos los demás empezaron antes que yo!	Flora	Badmood	
W2MonStart_05	No te preocupes, la cuenta atrás comienza desde el momento en que abres la caja. 	Jade	Neutral	
W2MonView1_01	Dice "casa". También hay un mapa.	Flora	Neutral	
W2MonView2_01	Dice "gaviota". También hay un mapa.	Flora	Neutral	
W2MonView3_01	Sólo hay la letra "E" en esta caja. También hay un mapa. 	Flora	Neutral	
W2MonJadeTalk_01	Lo siento, como dije a los demás: "No puedo dar pistas".	Jade	Neutral	
W2MonStart2_01	Creo que el mapa te dice dónde encontrar algo. Echa un vistazo. 	Elsys	Neutral	
W2MonNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera. 	Elsys	Neutral	
W2MonWrong1_01	Lo siento, no es el objeto correcto. 	Jade	Neutral	
W2MonWrong2_01	Lo siento, no es el objeto correcto. 	Jade	Neutral	
W2MonRight_01	Así es. La respuesta era la letra E, everywhere, ocean, breeze. Tres de vosotros volvisteis con la respuesta correcta pero fuistes la primera en traer el objeto. 	Jade	Happy	
W2MonRight_02	¡He ganado! Cielos, ¡¡¡me encanta ganar!!!	Flora	Happy	
W2MonRight_03	¡No me digas!	Samuel	Badmood	
W2MonRight_04	Entonces, ¿cuál es la gran recompensa? ¿Créditos?	Flora	Happy	
W2MonRight_05	Lo siento, tendrás que esperar hasta mañana por la mañana ...	Patrick	Neutral	
W2MonRight_06	¿Qué? Pero dijiste que...	Flora	Angry	
W2MonRight_07	¡Mañana por la mañana y no antes!	Harry	Angry	
W2MonRight_08	Mañana no es demasiado tiempo para esperar, ¿verdad?	Aurelie	Badmood	
W2MonRight_09	¡Supongo que sí!	Flora	Badmood	
W2MonRight_10	Miguel, creo que tengo la respuesta al enigma.	Caroll	Happy	
W2MonRight_11	El juego ha terminado Caroll. Lo encontré hace horas.	Miguel	Badmood	
W2MonRight_12	¿Por qué no lo has dicho?	Caroll	Neutral	
W2MonRight_13	Quería dejarla ganar.	Miguel	Neutral	
W2MonRight_14	Tendrás que hablar con ella algún día.	Caroll	Neutral	
W2MonReplay_01	Has perdido el reto. Empieza de nuevo.	Elsys	Neutral	
W2MonReplay2_01	Has perdido el reto. Empieza de nuevo.	Elsys	Neutral	
W2MonGameOver_01	Has vuelto a perder el desafío. La aventura ha terminado para ti.	Elsys	Neutral	
W2FriStart0_01	¡Buenas noticias! Tengo entendido que la pasarela de la capilla ha sido reparada. 	Elsys	Neutral	
W2FriNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W2FriNoHorse2_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W2FriRose_01	Es una rosa envuelta en un pergamino.	Flora	Neutral	
W2FriRose_02	"Debajo del arco floral, encontrarás mi imagen de ti. Sigue las flores blancas". ¿De qué arco está hablando?	Flora	Neutral	
W2FriCard_01	Es una postal de una obra de arte. Es magnífica. Hay un mensaje en el reverso. 	Flora	Neutral	
W2FriCard_02	"El acantilado al final del camino oculta un mensaje. ¿Están tus ojos lo suficientemente ansiosos para leerlo?"	Flora	Neutral	
W2FriEndZoomGood_01	Has hecho bien en ampliar la imagen y hacer una foto. Acuérdate de hacer lo mismo con las demás pistas que te encuentres para tener un registro de ellas en tu inventario. 	Elsys	Neutral	
W2FriEndZoomBad_01	Cuando utilices la cámara para ampliar y ver una pista, acuérdate de hacerle también una foto para que quede constancia en tu inventario.	Elsys	Neutral	
W2FriRock_01	Hay una roca enorme más adelante, pero estoy demasiado lejos para ver algo. 	Flora	Neutral	
W3WedStart_01	Tengo que encontrar el camino a la oficina del director.	Jade	Neutral	
W3WedPoliceTalk_01	Hola, oficial, necesito pasar. Tengo que ir a ver a alguien que vive en esta calle. 	Jade	Neutral	
W3WedPoliceTalk_02	Lo siento, señorita, la calle está bloqueada. Estamos llevando a cabo una importante operación policial. Sin ánimo de ofender, su presencia aquí es lo suficientemente sospechosa como para negarle el acceso. 	Policeman	Neutral	
W3WedPoliceTalk_03	¿Sospechosa, yo? ¿Qué te hace decir eso?	Jade	Badmood	
W3WedPoliceTalk_04	Los únicos que salen sin abrigo con este tiempo son los idiotas y los delincuentes. 	Policeman	Neutral	
W3WedPoliceTalk_05	Tenía prisa y me he quedado en el camino. Eso pasa, ¿sí?	Jade	Happy	
W3WedPoliceTalk_06	Tal vez, pero tengo un nariz para estas cosas. Y reconozco una cara sospechosa cuando la veo. 	Policeman	Neutral	
W3WedPoliceTalk_07	Mmm, la larga nariz de la ley...	Jade	Angry	
W3WedPoliceTalk_08	¿Perdona?	Policeman	Neutral	
W3WedPoliceTalk_09	Nada, volveré más tarde.	Jade	Neutral	
W3WedPoliceTalk_10	Estás en lo cierto. No voy a ir a ninguna parte.	Policeman	Neutral	
W3WedPoliceTalk_11	(Tengo que encontrar alguna manera de hacerle ceder.)	Jade	Neutral	
W3WedPoliceTalk2_01	¡Hola de nuevo! Un día maravilloso, ¿no crees?	Jade	Happy	
W3WedPoliceTalk2_02	Si por maravilloso te refieres a la gripe o al frío y a la humedad que nos dan a todos la lata, entonces sí, ¿"maravilloso"?	Policeman	Neutral	
W3WedPoliceTalk2_03	Alguien se ha levantado de la cama con el pie izquierdo esta mañana.	Jade	Badmood	
W3WedPoliceTalk2_04	En absoluto. He estado en mi puesto desde muy temprano hoy. Con todo respeto, no estoy de humor para jugar a ser el Sr. Feliz.	Policeman	Neutral	
W3WedPoliceTalk2_05	No te preocupes. Que tengas una buena hibernación. Nos vemos en un rato. 	Jade	Neutral	
W3WedPoliceTalk2_06	EN MUCHO RATO, espero, señorita.	Policeman	Neutral	
W3WedPoliceTalk2_07	(Es un hueso duro de roer. Voy a tener que ser inteligente.)	Jade	Angry	
W3WedPoliceTalk3_01	Oficial, ¡qué agradable sorpresa!	Jade	Happy	
W3WedPoliceTalk3_02	¿No puedes dejarme en paz?	Policeman	Neutral	
W3WedPoliceTalk3_03	¿Sabes qué? Acabo de volver de este pequeño bar en la carretera y vende el café más increíble. 	Jade	Happy	
W3WedPoliceTalk3_04	¿Ah, sí? ¿Cómo es eso?	Policeman	Neutral	
W3WedPoliceTalk3_05	No sé cómo lo hacen, pero lo hacen. Tiene un efecto muy fuerte y, después, te sientes como si pudieras luchar contra un tigre. 	Jade	Happy	
W3WedPoliceTalk3_06	¿Es eso cierto? Mmm, ahora que lo pienso, me vendría bien un poco de estímulo. 	Policeman	Neutral	
W3WedPoliceTalk3_07	Entonces pruébalo. Es tan bueno como la calefacción central; estarás listo para la Antártida cuando termines. Adiós al invierno, hola al verano. Te sentirás genial. 	Jade	Happy	
W3WedPoliceTalk3_08	¿Tan bueno como eso?	Policeman	Neutral	
W3WedPoliceTalk3_09	¿Seguro que no quieres probar uno? ¡Está al final de la carretera!	Jade	Happy	
W3WedPoliceTalk3_10	Es una pena que no beba café en realidad.	Policeman	Neutral	
W3WedPoliceTalk3_11	¿Ah sí?...	Jade	Neutral	
W3WedPoliceTalk3_12	Así es. El médico dice que no.	Policeman	Neutral	
W3WedPoliceTalk3_13	¿Oh, de verdad? ....	Jade	Badmood	
W3WedPoliceTalk3_14	Oh. Verdad. Ahora, si no te importa, tengo trabajo que hacer. 	Policeman	Neutral	
W3WedPoliceTalk3_15	Okey dokey	Jade	Badmood	
W3WedPoliceTalk3_16	(Me está llevando al límite.)	Jade	Angry	
W3WedPoliceTalk4_01	¿Otra vez tú? ¿No tienes nada mejor que hacer?	Policeman	Neutral	
W3WedPoliceTalk4_02	Escucha, la Navidad está aquí y mi sobrino ha estado soñando con un walkie-talkie. Me preguntaba si podría echar un vistazo al tuyo.	Jade	Happy	
W3WedPoliceTalk4_03	No es un juguete, señorita. Este dispositivo de alta tecnología salva vidas. 	Policeman	Neutral	
W3WedPoliceTalk4_04	Pero es para Navidad, señor oficial. Los policías no tienen que ser duros de corazón. 	Jade	Neutral	
W3WedPoliceTalk4_05	¿Prometes dejarme en paz más tarde?	Policeman	Neutral	
W3WedPoliceTalk4_06	¡Lo prometo de corazón!	Jade	Happy	
W3WedPoliceTalk4_07	Okey dokey. Aquí tienes. No encontrarás esto en las tiendas. Son de uso profesional.	Policeman	Neutral	
W3WedPoliceTalk4_08	(Conseguí anotar la frecuencia.)	Jade	Neutral	
W3WedPoliceTalk4_09	Muchos ánimos, oficial. ¡Que tenga una buena Navidad! 	Jade	Happy	
W3WedPoliceTalk4_10	...tengo que trabajar en Navidad...	Policeman	Neutral	
W3WedPoliceTalk4_11	...Lo siento...	Jade	Badmood	
W3WedPoliceTalk4_12	Ahhh…	Policeman	Neutral	
W3WedCarUse_01	Oye, esa ventana se ha quedado abierta. Si supiera la frecuencia correcta podría hacer una falsa alarma usando la radio del coche. 	Jade	Neutral	
W3WedCarUse2_01	Ejem... Llamando a todas las unidades. Robo en el este de la ciudad. Se solicitan refuerzos inmediatamente.	Jade	Neutral	
W3WedGrid_01	Está cerrado.	Jade	Neutral	
W3WedGrid_02	Hola, su buzón está abierto. Sé que la curiosidad mató al gato y todo eso, pero...	Jade	Neutral	
W3WedLeterBox_01	Oh no, dime que estoy soñando.	Jade	Neutral	
W3WedStart2_01	Tengo que encontrar el lugar para reunirme con el director. Dijo que siguiera las huellas de los cascos. 	Flora	Neutral	
W3WedDirectTalk_01	Llegas tarde. ¿Hubo algún problema?	Provisor	Neutral	
W3WedDirectTalk_02	Lo siento, siempre llego tarde. Tuve que pasar un cordón policial. 	Flora	Neutral	
W3WedDirectTalk_03	No pasa nada. Por favor, siéntate. Tenemos que hablar.	Provisor	Neutral	
W3SatVideTalk_01	Buenas noches.	Jade	Neutral	
W3SatVideTalk_02	Buenas noches. ¿Puedo ver su billete, por favor?	Videur	Neutral	
W3SatVideTalk_03	¿Billete? Oh no, qué mala suerte. ¿Dónde puedo encontrar uno de ellos?	Jade	Badmood	
W3SatVideTalk_04	¿A esta hora de la noche? En ningún sitio. Siempre puedes buscar en nuestra página web la fecha de nuestro próximo concierto. 	Videur	Neutral	
W3SatVideTalk_05	Supongo que es todo lo que puedo hacer. Que pases una buena noche. 	Jade	Badmood	
W3SatNoGo_01	Es una pena irse a casa así. El concierto tenía muy buena pinta. 	Jade	Neutral	
W3SatAdress_01	Pero es curioso. Estoy seguro de que reconozco el nombre del grupo. Podría visitar el sitio web mencionado en el cartel y ver si estoy en lo cierto.	Jade	Neutral	
W3SatPcUse_01	No hay información sobre el grupo, sólo sobre los organizadores. De todos modos, las entradas están agotadas. Y por una vez tenía ganas de divertirme.	Jade	Neutral	
W3SatPcUse_02	¿Hay algún problema? Pareces triste.	Flora	Neutral	
W3SatPcUse_03	No es gran cosa. Quería una entrada para el concierto de esta noche en el pub de la ciudad pero están agotadas.	Jade	Neutral	
W3SatPcUse_04	Veamos... ahora ese lugar en la foto. Fue tomada justo cerca de aquí. Ese billete será fácil de falsificar.	Flora	Neutral	
W3SatPcUse_05	¿De verdad?	Jade	Neutral	
W3SatPcUse_06	Iré a hacerle una foto si quieres. 	Flora	Happy	
W3SatPcUse_07	Harías eso aunque...	Jade	Neutral	
W3SatPcUse_08	¿Aunque no hayamos sido las mejores amigas últimamente? No te preocupes, no tengo "rencores", al menos no durante más de 5 minutos.	Flora	Happy	
W3SatPcUse_09	Muchísimas gracias.	Jade	Happy	
W3SatStart_01	Sólo tengo una vaga idea de dónde se tomó la foto, pero debería poder localizarla fácilmente utilizando la foto del sitio web. 	Flora	Neutral	
W3SatNoHorse_01	Será mejor que vayas con tu caballo. No puedes dejarlo vagando fuera.	Elsys	Neutral	
W3SatJadeTalk_01	Buen trabajo. Un poco de magia informática y nadie notará la diferencia.  	Flora	Happy	
W3SatJadeTalk_02	Fantástico. Muchas gracias. No pudiste hacer la parte de la magia, ¿verdad? No soy muy buena con los ordenadores.	Jade	Happy	
W3SatJadeTalk_03	Ya somos dos. Deberías preguntarle a Samuel, es un verdadero profesional.	Flora	Neutral	
